location_name,joinpoint_model,aapc_index,start_obs,end_obs,aapc,aapc_c_i_low,aapc_c_i_high,statistically_significant_0_no_1_yes,test_statistic,p_value,p_value_label,legend,Year,Value,Label,Measure
Palau,2,Full Range,2010,2023,-0.58,-0.61,-0.54,1,-31.717,0,***,"2010~2023
-0.58(-0.61~-0.54)***",2010~2023,-0.58 (-0.61~-0.54),Prevalence,Rate
Palestine,1,Full Range,2010,2023,-2.7,-2.74,-2.66,1,-135.282,0,***,"2010~2023
-2.70(-2.74~-2.66)***",2010~2023,-2.70 (-2.74~-2.66),Prevalence,Rate
Panama,1,Full Range,2010,2023,-2.83,-2.96,-2.71,1,-44.328,0,***,"2010~2023
-2.83(-2.96~-2.71)***",2010~2023,-2.83 (-2.96~-2.71),Prevalence,Rate
Papua New Guinea,1,Full Range,2010,2023,-0.47,-0.5,-0.44,1,-29.378,0,***,"2010~2023
-0.47(-0.50~-0.44)***",2010~2023,-0.47 (-0.50~-0.44),Prevalence,Rate
Paraguay,3,Full Range,2010,2023,-2.53,-2.54,-2.53,1,-799.487,0,***,"2010~2023
-2.53(-2.54~-2.53)***",2010~2023,-2.53 (-2.54~-2.53),Prevalence,Rate
Peru,1,Full Range,2010,2023,-3.19,-3.28,-3.1,1,-69.877,0,***,"2010~2023
-3.19(-3.28~-3.10)***",2010~2023,-3.19 (-3.28~-3.10),Prevalence,Rate
Philippines,2,Full Range,2010,2023,-0.01,-0.01,-0,1,-2.367,0.018,*,"2010~2023
-0.01(-0.01~-0.00)*",2010~2023,-0.01 (-0.01~-0.00),Prevalence,Rate
Poland,1,Full Range,2010,2023,-2.6,-2.65,-2.54,1,-85.738,0,***,"2010~2023
-2.60(-2.65~-2.54)***",2010~2023,-2.60 (-2.65~-2.54),Prevalence,Rate
Portugal,1,Full Range,2010,2023,-2.42,-2.48,-2.36,1,-76.589,0,***,"2010~2023
-2.42(-2.48~-2.36)***",2010~2023,-2.42 (-2.48~-2.36),Prevalence,Rate
Puerto Rico,2,Full Range,2010,2023,-2.33,-2.37,-2.29,1,-108.492,0,***,"2010~2023
-2.33(-2.37~-2.29)***",2010~2023,-2.33 (-2.37~-2.29),Prevalence,Rate
Qatar,2,Full Range,2010,2023,-3.06,-3.25,-2.87,1,-31.11,0,***,"2010~2023
-3.06(-3.25~-2.87)***",2010~2023,-3.06 (-3.25~-2.87),Prevalence,Rate
Republic of Korea,1,Full Range,2010,2023,-2.69,-2.8,-2.59,1,-49.26,0,***,"2010~2023
-2.69(-2.80~-2.59)***",2010~2023,-2.69 (-2.80~-2.59),Prevalence,Rate
Republic of Moldova,1,Full Range,2010,2023,-3.19,-3.25,-3.13,1,-109.085,0,***,"2010~2023
-3.19(-3.25~-3.13)***",2010~2023,-3.19 (-3.25~-3.13),Prevalence,Rate
Romania,1,Full Range,2010,2023,-2.62,-2.71,-2.54,1,-62.492,0,***,"2010~2023
-2.62(-2.71~-2.54)***",2010~2023,-2.62 (-2.71~-2.54),Prevalence,Rate
Russian Federation,2,Full Range,2010,2023,-2.95,-3.03,-2.88,1,-80.153,0,***,"2010~2023
-2.95(-3.03~-2.88)***",2010~2023,-2.95 (-3.03~-2.88),Prevalence,Rate
Rwanda,1,Full Range,2010,2023,-2.6,-2.63,-2.57,1,-180.248,0,***,"2010~2023
-2.60(-2.63~-2.57)***",2010~2023,-2.60 (-2.63~-2.57),Prevalence,Rate
Saint Kitts and Nevis,2,Full Range,2010,2023,-2.05,-2.11,-2,1,-73.257,0,***,"2010~2023
-2.05(-2.11~-2.00)***",2010~2023,-2.05 (-2.11~-2.00),Prevalence,Rate
Saint Lucia,2,Full Range,2010,2023,-2,-2.05,-1.96,1,-82.789,0,***,"2010~2023
-2.00(-2.05~-1.96)***",2010~2023,-2.00 (-2.05~-1.96),Prevalence,Rate
Saint Vincent and the Grenadines,2,Full Range,2010,2023,-2.09,-2.13,-2.04,1,-90.296,0,***,"2010~2023
-2.09(-2.13~-2.04)***",2010~2023,-2.09 (-2.13~-2.04),Prevalence,Rate
Samoa,2,Full Range,2010,2023,-0.62,-0.7,-0.54,1,-15.253,0,***,"2010~2023
-0.62(-0.70~-0.54)***",2010~2023,-0.62 (-0.70~-0.54),Prevalence,Rate
San Marino,0,Full Range,2010,2023,-1.82,-1.84,-1.79,1,-157.694,0,***,"2010~2023
-1.82(-1.84~-1.79)***",2010~2023,-1.82 (-1.84~-1.79),Prevalence,Rate
Sao Tome and Principe,3,Full Range,2010,2023,-4.01,-4.08,-3.94,1,-106.232,0,***,"2010~2023
-4.01(-4.08~-3.94)***",2010~2023,-4.01 (-4.08~-3.94),Prevalence,Rate
Saudi Arabia,2,Full Range,2010,2023,-3.25,-3.38,-3.12,1,-47.294,0,***,"2010~2023
-3.25(-3.38~-3.12)***",2010~2023,-3.25 (-3.38~-3.12),Prevalence,Rate
Senegal,3,Full Range,2010,2023,-3.42,-3.47,-3.37,1,-137.727,0,***,"2010~2023
-3.42(-3.47~-3.37)***",2010~2023,-3.42 (-3.47~-3.37),Prevalence,Rate
Serbia,1,Full Range,2010,2023,-2.69,-2.77,-2.62,1,-69.266,0,***,"2010~2023
-2.69(-2.77~-2.62)***",2010~2023,-2.69 (-2.77~-2.62),Prevalence,Rate
Seychelles,2,Full Range,2010,2023,-0.5,-0.52,-0.49,1,-60.028,0,***,"2010~2023
-0.50(-0.52~-0.49)***",2010~2023,-0.50 (-0.52~-0.49),Prevalence,Rate
Sierra Leone,2,Full Range,2010,2023,-3.57,-3.61,-3.52,1,-159.874,0,***,"2010~2023
-3.57(-3.61~-3.52)***",2010~2023,-3.57 (-3.61~-3.52),Prevalence,Rate
Singapore,2,Full Range,2010,2023,-2.67,-2.79,-2.56,1,-45.748,0,***,"2010~2023
-2.67(-2.79~-2.56)***",2010~2023,-2.67 (-2.79~-2.56),Prevalence,Rate
Slovakia,2,Full Range,2010,2023,-2.51,-2.58,-2.44,1,-67.157,0,***,"2010~2023
-2.51(-2.58~-2.44)***",2010~2023,-2.51 (-2.58~-2.44),Prevalence,Rate
Slovenia,1,Full Range,2010,2023,-2.5,-2.6,-2.4,1,-48.763,0,***,"2010~2023
-2.50(-2.60~-2.40)***",2010~2023,-2.50 (-2.60~-2.40),Prevalence,Rate
Solomon Islands,3,Full Range,2010,2023,-0.56,-0.58,-0.54,1,-53.981,0,***,"2010~2023
-0.56(-0.58~-0.54)***",2010~2023,-0.56 (-0.58~-0.54),Prevalence,Rate
Somalia,2,Full Range,2010,2023,-2.34,-2.49,-2.18,1,-29.256,0,***,"2010~2023
-2.34(-2.49~-2.18)***",2010~2023,-2.34 (-2.49~-2.18),Prevalence,Rate
South Africa,2,Full Range,2010,2023,-0.26,-0.27,-0.24,1,-30.633,0,***,"2010~2023
-0.26(-0.27~-0.24)***",2010~2023,-0.26 (-0.27~-0.24),Prevalence,Rate
South Sudan,2,Full Range,2010,2023,-2,-2.02,-1.97,1,-142.512,0,***,"2010~2023
-2.00(-2.02~-1.97)***",2010~2023,-2.00 (-2.02~-1.97),Prevalence,Rate
Spain,0,Full Range,2010,2023,-2.55,-2.58,-2.52,1,-201.931,0,***,"2010~2023
-2.55(-2.58~-2.52)***",2010~2023,-2.55 (-2.58~-2.52),Prevalence,Rate
Sri Lanka,2,Full Range,2010,2023,0.18,0.13,0.23,1,7.184,0,***,"2010~2023
0.18(0.13~0.23)***",2010~2023,0.18 (0.13~0.23),Prevalence,Rate
Sudan,1,Full Range,2010,2023,-2.63,-2.67,-2.59,1,-128.192,0,***,"2010~2023
-2.63(-2.67~-2.59)***",2010~2023,-2.63 (-2.67~-2.59),Prevalence,Rate
Suriname,1,Full Range,2010,2023,-2.13,-2.17,-2.1,1,-117.482,0,***,"2010~2023
-2.13(-2.17~-2.10)***",2010~2023,-2.13 (-2.17~-2.10),Prevalence,Rate
Sweden,0,Full Range,2010,2023,-2.41,-2.46,-2.37,1,-119.285,0,***,"2010~2023
-2.41(-2.46~-2.37)***",2010~2023,-2.41 (-2.46~-2.37),Prevalence,Rate
Switzerland,1,Full Range,2010,2023,-1.87,-1.89,-1.84,1,-137.711,0,***,"2010~2023
-1.87(-1.89~-1.84)***",2010~2023,-1.87 (-1.89~-1.84),Prevalence,Rate
Syrian Arab Republic,1,Full Range,2010,2023,-2.05,-2.1,-2,1,-75.826,0,***,"2010~2023
-2.05(-2.10~-2.00)***",2010~2023,-2.05 (-2.10~-2.00),Prevalence,Rate
Taiwan,3,Full Range,2010,2023,-1.58,-1.61,-1.54,1,-81.261,0,***,"2010~2023
-1.58(-1.61~-1.54)***",2010~2023,-1.58 (-1.61~-1.54),Prevalence,Rate
Tajikistan,2,Full Range,2010,2023,-2.17,-2.25,-2.08,1,-51.708,0,***,"2010~2023
-2.17(-2.25~-2.08)***",2010~2023,-2.17 (-2.25~-2.08),Prevalence,Rate
Thailand,1,Full Range,2010,2023,-0.91,-0.93,-0.9,1,-113.626,0,***,"2010~2023
-0.91(-0.93~-0.90)***",2010~2023,-0.91 (-0.93~-0.90),Prevalence,Rate
Timor-Leste,1,Full Range,2010,2023,-0.27,-0.29,-0.26,1,-32.5,0,***,"2010~2023
-0.27(-0.29~-0.26)***",2010~2023,-0.27 (-0.29~-0.26),Prevalence,Rate
Togo,3,Full Range,2010,2023,-3.68,-3.73,-3.63,1,-133.022,0,***,"2010~2023
-3.68(-3.73~-3.63)***",2010~2023,-3.68 (-3.73~-3.63),Prevalence,Rate
Tokelau,3,Full Range,2010,2023,-1.04,-1.05,-1.02,1,-137.928,0,***,"2010~2023
-1.04(-1.05~-1.02)***",2010~2023,-1.04 (-1.05~-1.02),Prevalence,Rate
Tonga,3,Full Range,2010,2023,-0.78,-0.83,-0.73,1,-30.53,0,***,"2010~2023
-0.78(-0.83~-0.73)***",2010~2023,-0.78 (-0.83~-0.73),Prevalence,Rate
Trinidad and Tobago,2,Full Range,2010,2023,-2.29,-2.32,-2.26,1,-154.341,0,***,"2010~2023
-2.29(-2.32~-2.26)***",2010~2023,-2.29 (-2.32~-2.26),Prevalence,Rate
Tunisia,1,Full Range,2010,2023,-2.48,-2.5,-2.45,1,-203.071,0,***,"2010~2023
-2.48(-2.50~-2.45)***",2010~2023,-2.48 (-2.50~-2.45),Prevalence,Rate
Turkmenistan,2,Full Range,2010,2023,-2.49,-2.58,-2.41,1,-56.417,0,***,"2010~2023
-2.49(-2.58~-2.41)***",2010~2023,-2.49 (-2.58~-2.41),Prevalence,Rate
Tuvalu,3,Full Range,2010,2023,-0.74,-0.78,-0.7,1,-32.356,0,***,"2010~2023
-0.74(-0.78~-0.70)***",2010~2023,-0.74 (-0.78~-0.70),Prevalence,Rate
Türkiye,1,Full Range,2010,2023,-2.78,-2.92,-2.64,1,-39.184,0,***,"2010~2023
-2.78(-2.92~-2.64)***",2010~2023,-2.78 (-2.92~-2.64),Prevalence,Rate
Uganda,3,Full Range,2010,2023,-1.66,-1.68,-1.65,1,-195.613,0,***,"2010~2023
-1.66(-1.68~-1.65)***",2010~2023,-1.66 (-1.68~-1.65),Prevalence,Rate
Ukraine,3,Full Range,2010,2023,-1.85,-1.92,-1.79,1,-58.26,0,***,"2010~2023
-1.85(-1.92~-1.79)***",2010~2023,-1.85 (-1.92~-1.79),Prevalence,Rate
United Arab Emirates,3,Full Range,2010,2023,-2.44,-2.48,-2.4,1,-126.738,0,***,"2010~2023
-2.44(-2.48~-2.40)***",2010~2023,-2.44 (-2.48~-2.40),Prevalence,Rate
United Kingdom,2,Full Range,2010,2023,-2.05,-2.09,-2,1,-84.578,0,***,"2010~2023
-2.05(-2.09~-2.00)***",2010~2023,-2.05 (-2.09~-2.00),Prevalence,Rate
United Republic of Tanzania,2,Full Range,2010,2023,-3.3,-3.33,-3.27,1,-200.47,0,***,"2010~2023
-3.30(-3.33~-3.27)***",2010~2023,-3.30 (-3.33~-3.27),Prevalence,Rate
United States Virgin Islands,1,Full Range,2010,2023,-2.15,-2.17,-2.13,1,-193.304,0,***,"2010~2023
-2.15(-2.17~-2.13)***",2010~2023,-2.15 (-2.17~-2.13),Prevalence,Rate
United States of America,2,Full Range,2010,2023,1.1,1.04,1.16,1,35.254,0,***,"2010~2023
1.10(1.04~1.16)***",2010~2023,1.10 (1.04~1.16),Prevalence,Rate
Uruguay,1,Full Range,2010,2023,-1.89,-1.92,-1.87,1,-143.721,0,***,"2010~2023
-1.89(-1.92~-1.87)***",2010~2023,-1.89 (-1.92~-1.87),Prevalence,Rate
Uzbekistan,2,Full Range,2010,2023,-2.47,-2.59,-2.36,1,-41.184,0,***,"2010~2023
-2.47(-2.59~-2.36)***",2010~2023,-2.47 (-2.59~-2.36),Prevalence,Rate
Vanuatu,3,Full Range,2010,2023,-0.47,-0.54,-0.39,1,-11.953,0,***,"2010~2023
-0.47(-0.54~-0.39)***",2010~2023,-0.47 (-0.54~-0.39),Prevalence,Rate
Venezuela (Bolivarian Republic of),1,Full Range,2010,2023,-1.64,-1.7,-1.57,1,-51.532,0,***,"2010~2023
-1.64(-1.70~-1.57)***",2010~2023,-1.64 (-1.70~-1.57),Prevalence,Rate
Viet Nam,2,Full Range,2010,2023,-0.64,-0.65,-0.62,1,-74.401,0,***,"2010~2023
-0.64(-0.65~-0.62)***",2010~2023,-0.64 (-0.65~-0.62),Prevalence,Rate
Yemen,3,Full Range,2010,2023,-1.65,-1.68,-1.62,1,-116.742,0,***,"2010~2023
-1.65(-1.68~-1.62)***",2010~2023,-1.65 (-1.68~-1.62),Prevalence,Rate
Zambia,2,Full Range,2010,2023,-3.14,-3.16,-3.13,1,-437.929,0,***,"2010~2023
-3.14(-3.16~-3.13)***",2010~2023,-3.14 (-3.16~-3.13),Prevalence,Rate
Zimbabwe,2,Full Range,2010,2023,-3.64,-3.83,-3.45,1,-36.595,0,***,"2010~2023
-3.64(-3.83~-3.45)***",2010~2023,-3.64 (-3.83~-3.45),Prevalence,Rate
